-1.7061363e+00    1.0000000e-08
-1.7061328e+00    2.7172868e-03
-1.7061221e+00    5.4242222e-03
-1.7061043e+00    8.1311170e-03
-1.7060795e+00    1.0837952e-02
-1.7060475e+00    1.3544707e-02
-1.7060085e+00    1.6251362e-02
-1.7059624e+00    1.8957896e-02
-1.7059092e+00    2.1664288e-02
-1.7058489e+00    2.4370519e-02
-1.7057815e+00    2.7076570e-02
-1.7057070e+00    2.9782422e-02
-1.7056254e+00    3.2488053e-02
-1.7055367e+00    3.5193444e-02
-1.7054410e+00    3.7898573e-02
-1.7053381e+00    4.0603421e-02
-1.7052282e+00    4.3307967e-02
-1.7051112e+00    4.6012191e-02
-1.7049871e+00    4.8716074e-02
-1.7048559e+00    5.1419595e-02
-1.7047177e+00    5.4122736e-02
-1.7045723e+00    5.6825475e-02
-1.7044199e+00    5.9527795e-02
-1.7042604e+00    6.2229674e-02
-1.7040938e+00    6.4931091e-02
-1.7039202e+00    6.7632027e-02
-1.7037395e+00    7.0332462e-02
-1.7035517e+00    7.3032375e-02
-1.7033568e+00    7.5731746e-02
-1.7031549e+00    7.8430556e-02
-1.7029459e+00    8.1128784e-02
-1.7027298e+00    8.3826410e-02
-1.7025067e+00    8.6523414e-02
-1.7022765e+00    8.9219778e-02
-1.7020392e+00    9.1915480e-02
-1.7017949e+00    9.4610502e-02
-1.7015435e+00    9.7304823e-02
-1.7012851e+00    9.9998424e-02
-1.7010196e+00    1.0269128e-01
-1.7007471e+00    1.0538338e-01
-1.7004675e+00    1.0807470e-01
-1.7001809e+00    1.1076522e-01
-1.6998873e+00    1.1345491e-01
-1.6995866e+00    1.1614377e-01
-1.6992788e+00    1.1883176e-01
-1.6989641e+00    1.2151888e-01
-1.6986423e+00    1.2420509e-01
-1.6983135e+00    1.2689038e-01
-1.6979776e+00    1.2957474e-01
-1.6976347e+00    1.3225813e-01
-1.6972848e+00    1.3494054e-01
-1.6969279e+00    1.3762196e-01
-1.6965640e+00    1.4030235e-01
-1.6961931e+00    1.4298171e-01
-1.6958151e+00    1.4566001e-01
-1.6954302e+00    1.4833723e-01
-1.6950382e+00    1.5101335e-01
-1.6946393e+00    1.5368836e-01
-1.6942333e+00    1.5636222e-01
-1.6938204e+00    1.5903493e-01
-1.6934004e+00    1.6170646e-01
-1.6929735e+00    1.6437679e-01
-1.6925396e+00    1.6704591e-01
-1.6920988e+00    1.6971379e-01
-1.6916509e+00    1.7238041e-01
-1.6911961e+00    1.7504575e-01
-1.6907343e+00    1.7770981e-01
-1.6902656e+00    1.8037254e-01
-1.6897899e+00    1.8303394e-01
-1.6893073e+00    1.8569399e-01
-1.6888177e+00    1.8835266e-01
-1.6883211e+00    1.9100994e-01
-1.6878176e+00    1.9366581e-01
-1.6873072e+00    1.9632025e-01
-1.6867898e+00    1.9897323e-01
-1.6862656e+00    2.0162474e-01
-1.6857343e+00    2.0427476e-01
-1.6851962e+00    2.0692327e-01
-1.6846512e+00    2.0957025e-01
-1.6840992e+00    2.1221568e-01
-1.6835404e+00    2.1485953e-01
-1.6829746e+00    2.1750180e-01
-1.6824019e+00    2.2014247e-01
-1.6818224e+00    2.2278150e-01
-1.6812360e+00    2.2541889e-01
-1.6806427e+00    2.2805461e-01
